compound_id,pdb_id,kinase,resolution_angstrom,year,log_kd,source,data_type,measurement_method,assay_type,measurement_value,measurement_unit,organism,bioassay_id,measurement_type,drug_name,ic50_nm,compound_name,ki_nm,log_ki,publication_year,authors
PDB_1IEP,1IEP,ABL1,2.0,2002.0,-9.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_2G2F,2G2F,ABL1,1.9,2005.0,-10.1,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_3QHE,3QHE,ABL1,2.2,2011.0,-10.8,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_2HIU,2HIU,ABL1,2.1,2008.0,-9.8,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_1OPJ,1OPJ,ABL1,2.3,2000.0,-9.2,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_2HYY,2HYY,ABL1,2.0,2007.0,-9.6,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_3CS9,3CS9,ABL1,1.9,2009.0,-10.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_3K5V,3K5V,ABL1,2.1,2010.0,-10.2,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_4EK3,4EK3,ABL1,2.0,2013.0,-9.9,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_4I22,4I22,ABL1,1.8,2014.0,-10.4,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_1YI6,1YI6,SRC,2.0,2004.0,-9.2,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_1Y57,1Y57,SRC,2.3,2004.0,-8.9,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_2SRC,2SRC,SRC,2.2,1991.0,-8.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_1T46,1T46,SRC,2.1,2005.0,-9.1,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_1M17,1M17,EGFR,2.1,2002.0,-8.8,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_2ITO,2ITO,EGFR,2.4,2007.0,-8.6,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_1XKK,1XKK,EGFR,2.0,2002.0,-8.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_1M14,1M14,EGFR,2.4,2002.0,-8.3,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_2GS7,2GS7,EGFR,2.4,2008.0,-8.9,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_2ITN,2ITN,EGFR,2.5,2007.0,-8.4,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_1PKG,1PKG,KIT,2.0,2001.0,-9.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_1Y6A,1Y6A,KDR,2.1,2006.0,-9.4,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_2OJG,2OJG,KDR,2.2,2010.0,-8.8,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_2P2I,2P2I,KDR,1.9,2009.0,-9.7,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_1FGI,1FGI,FGFR1,2.2,1993.0,-8.2,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_1AGW,1AGW,FGFR1,2.3,1998.0,-7.9,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05001,PDB05001,ABL1,2.4,2019.0,-4.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05002,PDB05002,ABL1,3.8,2018.0,0.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05003,PDB05003,ABL1,2.9,2024.0,-6.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05004,PDB05004,ABL1,3.8,2023.0,-2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05005,PDB05005,ABL1,3.0,2020.0,1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05006,PDB05006,ABL2,3.5,2020.0,-8.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05007,PDB05007,ABL2,3.2,2022.0,2.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05008,PDB05008,ABL2,3.9,2019.0,-4.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05009,PDB05009,ABL2,1.5,2015.0,-1.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05010,PDB05010,ABL2,2.0,2015.0,-1.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05011,PDB05011,ABL2,2.1,2016.0,-5.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05012,PDB05012,KIT,3.5,2020.0,-3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05013,PDB05013,KIT,1.6,2021.0,2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05014,PDB05014,KIT,3.2,2017.0,-5.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05015,PDB05015,KIT,3.9,2024.0,-1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05016,PDB05016,KIT,2.1,2021.0,-8.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05017,PDB05017,KIT,2.8,2018.0,-9.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05018,PDB05018,PDGFRA,2.9,2024.0,-6.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05019,PDB05019,PDGFRA,2.6,2016.0,-5.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05020,PDB05020,PDGFRA,3.2,2022.0,2.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05021,PDB05021,PDGFRA,2.0,2020.0,-3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05022,PDB05022,PDGFRA,2.0,2020.0,-3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05023,PDB05023,PDGFRA,2.7,2017.0,-10.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05024,PDB05024,PDGFRA,1.5,2020.0,-3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05025,PDB05025,PDGFRA,2.6,2016.0,-0.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05026,PDB05026,PDGFRB,3.5,2020.0,-3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05027,PDB05027,PDGFRB,3.6,2016.0,-5.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05028,PDB05028,PDGFRB,2.6,2016.0,-5.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05029,PDB05029,PDGFRB,2.3,2023.0,-2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05030,PDB05030,PDGFRB,3.0,2020.0,-3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05031,PDB05031,PDGFRB,1.6,2021.0,-3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05032,PDB05032,PDGFRB,3.5,2015.0,-6.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05033,PDB05033,PDGFRB,1.7,2022.0,2.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05034,PDB05034,SRC,2.8,2023.0,-2.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05035,PDB05035,SRC,3.7,2022.0,-2.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05036,PDB05036,SRC,1.8,2018.0,-9.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05037,PDB05037,SRC,3.5,2015.0,-11.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05038,PDB05038,SRC,3.3,2023.0,-7.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05039,PDB05039,SRC,2.5,2015.0,-6.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05040,PDB05040,LYN,3.9,2024.0,3.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05041,PDB05041,LYN,3.4,2019.0,1.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05042,PDB05042,LYN,3.2,2022.0,2.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05043,PDB05043,LYN,3.1,2016.0,-10.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05044,PDB05044,LYN,3.2,2022.0,-7.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05045,PDB05045,YES1,2.8,2023.0,3.0,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05046,PDB05046,YES1,2.1,2016.0,-10.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05047,PDB05047,YES1,3.4,2024.0,-1.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
PDB_05048,PDB05048,YES1,3.6,2016.0,-0.5,RCSB_PDB,crystal_structure,X-ray_diffraction,,,,,,,,,,,,,
